,capacity_mw,estimated_generation_gwh,primary_fuel,longitude,latitude
0,15.0,685.3977118377676,Hydro,-66.6662986370627,18.33589933648736
1,1492.0,8334.010811804319,Oil,-66.23079607357684,17.951899390168816
2,990.0,5529.9401499237765,Oil,-66.75340271704073,18.000298473002918
3,602.0,3362.6504750041554,Oil,-66.14859700475763,18.455300685395482
4,10.0,456.93180789184504,Hydro,-66.10600367149512,18.044702201293134
5,8.640000343322754,394.78908201855415,Hydro,-66.48789892211643,18.13180182217009
6,7.199999809265138,328.99090168212837,Hydro,-66.73459422879728,18.094100122763205
7,5.039999961853027,230.29363117748989,Hydro,-66.7305007740302,18.07270089680772
8,1.919999957084656,87.73090711523425,Hydro,-66.51159458511445,18.166399987243775
9,27.0,12.040047035167005,Solar,-65.90769852944625,18.405501444830595
10,42.0,295.9097059365489,Gas,-66.2312018517727,17.953299547899597
11,42.0,295.9097059365489,Gas,-65.82489748198483,18.106398323468607
12,42.0,295.9097059365489,Gas,-66.75370147681129,18.001801190057932
13,42.0,295.9097059365489,Gas,-65.6677007925477,18.232501701260055
14,507.0,3572.0528788054826,Gas,-66.75520419386629,17.981200143191007
15,42.0,295.9097059365489,Gas,-66.14019605837294,17.961499834736884
16,220.0,1550.0032215723986,Gas,-67.16000584659918,18.21940086236503
17,126.0,887.7291178096466,Gas,-66.14980096204206,18.455100025848076
18,42.0,295.9097059365489,Gas,-66.39140397531986,18.44580280015164
19,6.0,33.51478878741683,Oil,-65.44400106999949,18.142900524692116
20,25.0,1142.3295197296125,Hydro,-66.8711006893464,18.110598796660952
21,18.0,822.4772542053212,Hydro,-66.6432049527069,18.296101859585352
22,3.5999999046325684,164.49545084106418,Hydro,-66.66909895252427,18.239698690360314
23,247.5,1382.4850374809446,Oil,-66.69679888826826,18.46910160315589
24,9.0,411.23862710266053,Hydro,-66.8836976498224,18.05359810789475
25,5.0,228.46590394592252,Hydro,-65.78520256440704,18.24360040378208
26,24.0,10.702264031259556,Solar,-66.15910264683956,17.94679817856367
27,15.5,6.911878853521798,Solar,-66.2204955501434,17.978600487276847
28,454.2999877929688,450562.6923495511,Coal,-66.14939964294724,17.947400157205887
29,4.5,2.006674505861167,Solar,-66.54849810543277,18.062297814050027
30,864.0,4826.129585388025,Oil,-66.1045009544401,18.426998771009263
31,23.399999618530273,4.151336807862841,Wind,-65.69480320875054,18.186800374563294
32,26.0,11.594119367197855,Solar,-65.90280243648958,18.41339851279625
33,101.1999969482422,17.95364465622733,Wind,-66.39800344487897,17.98529805705913
34,57.6500015258789,25.707730058421397,Solar,-67.0442966333633,18.47290075725343
